year,Base case cost,Modeled water and wastewater efficiency
2017,56665.8730868,43667.2874928
2018,60932.0328846,46584.0298267
2019,66903.2068687,50699.4481717
2020,69583.3161692,52506.4266989
2021,71530.2724942,53800.482143
2022,72988.8799214,54753.4281855
2023,73959.1396887,55365.2257781
2024,74807.218822,55892.8778071
2025,75775.5506873,56506.5156155
2026,76863.9551346,57205.9747099
2027,77949.8714726,57905.1799977
2028,78669.6222391,58348.8215319
2029,79877.7342625,59136.7287937
2030,80475.1476262,59497.3417012
2031,81679.001244,60285.0123594
