year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5851.46439386,3803.45185601
2018,5851.72508167,3803.62130308
2019,5851.91075897,3803.74199333
2020,5851.91604939,3803.7454321
2021,5851.7429773,3803.63293524
2022,5851.49332918,3803.47066397
2023,5851.16680812,3803.25842528
2024,5850.81953028,3803.03269468
2025,5850.36428483,3802.73678514
2026,5849.7939459,3802.36606484
2027,5849.05744481,3801.88733913
2028,5848.27365391,3801.37787504
2029,5847.60819551,3800.94532708
2030,5846.81209629,3800.42786259
2031,5845.88578813,3799.82576229
