year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2005,,2.51,3.3
2006,,3.0,4.18
2008,,3.85,5.39
2009,,4.28,4.22
2010,,3.38,4.31
2011,,3.82,4.86
2012,,4.33,5.74
2013,,4.55,5.88
2014,,,6.25
2016,,2.5,3.22
2017,,2.97,3.69
2018,,3.32,4.04
2019,,3.81,4.53
2020,,4.03,4.75
2021,,4.19,4.91
2022,,4.31,5.03
2023,,4.39,5.11
2024,,4.46,5.18
2025,,4.54,5.26
2026,,4.63,5.35
2027,,4.72,5.44
2028,,4.78,5.5
2029,,4.88,5.6
2030,,4.93,5.65
2031,,5.03,5.75
2032,,5.13,5.85
2033,,5.23,5.95
2034,,5.34,6.06
2035,,5.41,6.13
2036,,5.51,6.23
2037,,5.58,6.3
2038,,5.69,6.41
2039,,5.77,6.49
2040,,5.89,6.61
