year,Base case cost,Modeled non-residential energy efficiency
2017,234649.146635,238236.921515
2018,252992.605162,253715.350053
2019,278673.447101,275739.47108
2020,290203.621032,285196.731696
2021,298589.202074,291875.803954
2022,304878.387855,296708.546725
2023,309071.178375,299694.531922
2024,312739.870081,302231.787337
2025,316932.660601,305252.201955
2026,321649.549937,308755.377089
2027,326366.439273,312274.774773
2028,329511.032163,314411.568957
2029,334752.020314,318428.428633
2030,337372.514389,320129.653669
2031,342613.50254,324176.376109
