year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,40496.89,5851.46,30121.34,12935.48
2018,40598.64,5851.73,30121.34,12935.48
2019,40598.64,5851.91,30121.34,12935.48
2020,40598.64,5851.92,30121.34,12935.48
2021,40598.64,5851.74,30121.34,12935.48
2022,40496.89,5851.49,30121.34,12935.48
2023,40496.89,5851.17,30121.34,12935.48
2024,40496.89,5850.82,30121.34,12935.48
2025,40395.14,5850.36,30121.34,12935.48
2026,40293.39,5849.79,30121.34,12935.48
2027,40293.39,5849.06,30121.34,12935.48
2028,40191.64,5848.27,30121.34,12159.5
2029,40089.89,5847.61,30121.34,12159.5
2030,39988.14,5846.81,30121.34,12159.5
2031,39886.39,5845.89,30121.34,12159.5
2032,39784.63,5844.73,30121.34,12159.5
2033,39581.13,5843.48,30121.34,12159.5
2034,39479.38,5842.25,30121.34,11383.51
2035,39275.88,5841.05,30121.34,11383.51
2036,39174.13,5839.91,30121.34,11383.51
2037,39072.38,5838.85,30121.34,11383.51
2038,38970.63,5837.78,30121.34,11383.51
2039,38767.12,5836.63,30121.34,11383.51
2040,38665.37,5835.43,30121.34,10607.52
