year,Base case diesel consumed,Modeled non-residential ashp
2017,53242.6754631,-21667.4635305
2018,54255.7513711,-20654.3876226
2019,54255.7513711,-20654.3876226
2020,54255.7513711,-20654.3876226
2021,54255.7513711,-20654.3876226
2022,54255.7513711,-20654.3876226
2023,55268.8272791,-19641.3117146
2024,56281.903187,-18628.2358066
2025,56281.903187,-18628.2358066
2026,56281.903187,-18628.2358066
2027,56281.903187,-18628.2358066
2028,56281.903187,-18628.2358066
2029,56281.903187,-18628.2358066
2030,56281.903187,-18628.2358066
2031,57294.979095,-17615.1598987
