year,Base case cost,Kivalina wind-intertie feasibility analysis & conceptual design,Modeled wind power
2019,337340.678706,2034931.12155,520988.332314
2020,357774.545132,2045425.9174,535598.433469
2021,371863.847579,2052889.1728,545805.225734
2022,382623.258918,2058915.69339,553791.415516
2023,392361.110667,2064867.23254,561310.690017
2024,399249.075808,2068915.46323,566534.722223
2025,407162.760948,2073516.12485,572507.152273
2026,416465.985421,2078559.74765,579314.477344
2027,423784.114251,2082564.85295,584691.351083
2028,429449.337484,2085390.34174,588692.641382
2029,437439.0926,2089593.78425,594463.819251
2030,443116.190702,2092904.43698,598754.306574
2031,453164.632009,2098693.27661,606306.848479
2032,462543.45819,2103812.50112,613189.775257
2033,472298.750018,2109308.19127,620449.167683
2034,482347.659593,2114624.2101,627724.8557
2035,488377.005338,2117813.82139,632090.26851
2036,498808.552128,2123512.47744,639748.593742
2037,503836.864145,2126174.34408,643390.29498
2038,513893.48818,2131498.07736,650673.697457
