year,Base case diesel consumed,Modeled residential ashp
2017,17061.6378451,9569.60760989
2018,17061.6378451,9569.60760989
2019,17061.6378451,9569.60760989
2020,17061.6378451,9569.60760989
2021,15091.6071429,7599.57690767
2022,15091.6071429,7599.57690767
2023,15091.6071429,7599.57690767
2024,15091.6071429,7599.57690767
2025,15091.6071429,7599.57690767
2026,13121.5764406,5629.54620545
2027,13121.5764406,5629.54620545
2028,13121.5764406,5629.54620545
2029,13121.5764406,5629.54620545
2030,11151.5457384,3659.51550323
2031,11151.5457384,3659.51550323
