year,Base case cost,Modeled biomass for heat (cordwood)
2017,99500.227822,115434.11059
2018,107501.227822,120983.46078
2019,118969.327822,129105.042642
2020,124303.327822,132699.354058
2021,128303.827822,135315.84863
2022,130970.827822,136954.334236
2023,133104.427822,138206.231649
2024,134704.627822,139071.357649
2025,136838.227822,140338.344493
2026,139238.527822,141809.814652
2027,141105.427822,142893.989104
2028,142972.327822,143985.106801
2029,145105.927822,145280.207805
2030,146439.427822,145990.322017
2031,149106.427822,147692.916609
2032,,
2033,,
2034,,
2035,,
2036,,
