year,Base case cost,Landlocked creek,Port heiden (barabara creek),Port heiden (reindeer creek)
2021,550191.782153,1402980.26221,1009133.28334,1131782.59955
2022,562575.367453,1400929.81236,1008800.67293,1132118.02966
2023,570498.964177,1400192.988,1009094.55223,1132812.73327
2024,577556.658865,1398590.2616,1008522.52949,1132641.53484
2025,585468.393918,1397841.57557,1008804.54712,1133324.37678
2026,596017.373988,1396843.32752,1009180.57062,1134234.83269
2027,604808.190714,1396011.45415,1009493.92354,1134993.54596
2028,611840.844094,1395345.95546,1009744.60588,1135600.51657
2029,623374.34292,1396294.49518,1011952.89451,1138298.70159
2030,630487.392075,1396671.66127,1013131.71901,1139789.27832
2031,641083.818833,1395720.85991,1013555.1892,1140747.18092
2032,651680.24559,1394770.05855,1013978.65938,1141705.08353
2033,661288.199703,1392830.78455,1013413.65693,1141674.51348
2034,672750.528497,1391783.61622,1013855.28278,1142695.10778
2035,678922.551695,1391219.75635,1014093.08131,1143244.65855
2036,690384.880489,1390172.58802,1014534.70715,1144265.25285
2037,698481.130436,1390570.68589,1015848.98606,1145935.82003
2038,709077.557194,1389619.88453,1016272.45624,1146893.72263
2039,717907.912825,1388827.55007,1016625.34807,1147691.9748
2040,730270.410709,1387718.28182,1017119.39662,1148809.52784
2041,730270.410709,1387718.28182,1017119.39662,1148809.52784
2042,730270.410709,1387718.28182,1017119.39662,1148809.52784
2043,731360.366546,1388808.23765,1018209.35246,1149899.48367
2044,731360.366546,1388808.23765,1018209.35246,1149899.48367
2045,732450.322383,1389898.19349,1019299.3083,1150989.43951
2046,732450.322383,1389898.19349,1019299.3083,1150989.43951
2047,732450.322383,1389898.19349,1019299.3083,1150989.43951
2048,733540.27822,1390988.14933,1020389.26413,1152079.39535
2049,733540.27822,1390988.14933,1020389.26413,1152079.39535
2050,733540.27822,1390988.14933,1020389.26413,1152079.39535
