year,Base case cost,Modeled solar power (pv)
2016,359395.474194,362028.706515
2017,414407.271814,416252.297337
2018,454966.281395,456259.159949
2019,508751.054971,509305.7662
2020,533439.14776,533694.099741
2021,550191.782153,550267.558576
2022,562575.367453,562526.180278
2023,570498.964177,570402.975158
2024,577556.658865,577415.15006
2025,585468.393918,585282.62987
2026,596017.373988,595751.683773
2027,604808.190714,604488.810323
2028,611840.844094,611493.399537
2029,623374.34292,622963.794564
2030,630487.392075,630062.969725
2031,641083.818833,640587.192728
2032,651680.24559,651113.128236
2033,661288.199703,660652.280826
2034,672750.528497,672035.935135
2035,678922.551695,678199.800483
