year,Base case diesel consumed,Modeled residential energy efficiency
2017,51463.0874486,38995.1509012
2018,51463.0874486,38995.1509012
2019,51463.0874486,38995.1509012
2020,51463.0874486,38995.1509012
2021,51463.0874486,38995.1509012
2022,51463.0874486,38995.1509012
2023,51463.0874486,38995.1509012
2024,51463.0874486,38995.1509012
2025,51463.0874486,38995.1509012
2026,51463.0874486,38995.1509012
2027,50339.1734169,37871.2368695
2028,50339.1734169,37871.2368695
2029,50339.1734169,37871.2368695
2030,50339.1734169,37871.2368695
2031,50339.1734169,37871.2368695
2032,49215.2593852,36747.3228378
2033,49215.2593852,36747.3228378
2034,48091.3453534,35623.4088061
2035,48091.3453534,35623.4088061
2036,46967.4313217,34499.4947744
