year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,44235.0298381,32733.9220802
2018,44235.0298381,32733.9220802
2019,44235.0298381,32733.9220802
2020,44235.0298381,32733.9220802
2021,44235.0298381,32733.9220802
2022,44235.0298381,32733.9220802
2023,44235.0298381,32733.9220802
2024,44235.0298381,32733.9220802
2025,44235.0298381,32733.9220802
2026,44235.0298381,32733.9220802
2027,44235.0298381,32733.9220802
2028,44235.0298381,32733.9220802
2029,44235.0298381,32733.9220802
2030,44235.0298381,32733.9220802
2031,44235.0298381,32733.9220802
