year,Base case diesel consumed,Modeled solar power
2020,30117.3122883,29667.8217165
2021,30063.8179503,29617.9233031
2022,30063.8179503,29621.4904603
2023,30010.3236123,29571.5347422
2024,30010.3236123,29575.0450532
2025,29956.8292743,29525.0329437
2026,29903.3349363,29474.9929763
2027,29849.8405983,29424.925374
2028,29742.8519224,29321.3360198
2029,29742.8519224,29324.708147
2030,29742.8519224,29328.0532972
2031,29689.3575844,29277.8773483
2032,29582.3689084,29174.1805142
2033,29475.3802324,29070.4573453
2034,29368.3915564,28966.7080525
2035,29207.9085425,28809.4385065
2036,29100.9198665,28705.6375908
2037,28993.9311905,28601.8111731
2038,28886.9425145,28497.9594572
2039,28726.4595005,28340.5883077
