year,Base case diesel consumed,Modeled transmission and interties
2021,30063.8179503,-8933.55444431
2022,30063.8179503,-8933.55444431
2023,30010.3236123,-8933.55444431
2024,30010.3236123,-8933.55444431
2025,29956.8292743,-8933.55444431
2026,29903.3349363,-8933.55444431
2027,29849.8405983,-8933.55444431
2028,29742.8519224,-8933.55444431
2029,29742.8519224,-8933.55444431
2030,29742.8519224,-8933.55444431
2031,29689.3575844,-8933.55444431
2032,29582.3689084,-8933.55444431
2033,29475.3802324,-8933.55444431
2034,29368.3915564,-8933.55444431
2035,29207.9085425,-8933.55444431
2036,29100.9198665,-8933.55444431
2037,28993.9311905,-8933.55444431
2038,28886.9425145,-8933.55444431
2039,28726.4595005,-8933.55444431
2040,28619.4708246,-8933.55444431
