year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,30063.82,5717.58,44235.03,51463.09
2018,30063.82,5717.79,44235.03,51463.09
2019,30063.82,5718.63,44235.03,51463.09
2020,30117.31,5718.98,44235.03,51463.09
2021,30063.82,5718.73,44235.03,51463.09
2022,30063.82,5717.63,44235.03,51463.09
2023,30010.32,5717.13,44235.03,51463.09
2024,30010.32,5715.63,44235.03,51463.09
2025,29956.83,5713.96,44235.03,51463.09
2026,29903.33,5713.1,44235.03,51463.09
2027,29849.84,5710.57,44235.03,50339.17
2028,29742.85,5708.66,44235.03,50339.17
2029,29742.85,5708.82,44235.03,50339.17
2030,29742.85,5707.71,44235.03,50339.17
2031,29689.36,5706.71,44235.03,50339.17
2032,29582.37,5702.89,44235.03,49215.26
2033,29475.38,5699.16,44235.03,49215.26
2034,29368.39,5695.36,44235.03,48091.35
2035,29207.91,5691.1,44235.03,48091.35
2036,29100.92,5687.16,44235.03,46967.43
2037,28993.93,5683.96,44235.03,46967.43
2038,28886.94,5680.74,44235.03,45843.52
2039,28726.46,5676.62,44235.03,45843.52
2040,28619.47,5671.99,44235.03,44719.6
