year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,101416.0,89889.0012316
2018,101416.0,89889.0012316
2019,101417.0,89890.0012316
2020,101417.0,89890.0012316
2021,101417.0,89890.0012316
2022,101416.0,89889.0012316
2023,101415.0,89888.0012316
2024,101414.0,89887.0012316
2025,101412.0,89885.0012316
2026,101411.0,89884.0012316
2027,100285.0,88758.0012316
2028,100283.0,88756.0012316
2029,100283.0,88756.0012316
2030,100282.0,88755.0012316
2031,100281.0,88754.0012316
2032,99153.0,87626.0012316
2033,99149.0,87622.0012316
2034,98021.0,86494.0012316
2035,98017.0,86490.0012316
2036,96889.0,85362.0012316
