year,Base case cost,Modeled biomass for heat (cordwood)
2017,334542.22116,366530.977488
2018,364967.02116,392798.188837
2019,407565.759872,429872.493322
2020,427849.159872,447183.408855
2021,442047.539872,459116.559112
2022,452184.78116,467464.918967
2023,460293.522447,474030.2293
2024,466373.823735,478812.200647
2025,473463.46631,484502.463063
2026,482585.787598,492008.750708
2027,484247.427386,492298.45785
2028,490254.749961,497062.360959
2029,499280.219961,504511.534328
2030,504289.341249,508418.068629
2031,513309.602537,515886.996657
2032,516459.4649,517497.570371
2033,525362.040051,524872.619188
2034,529187.192415,527066.461868
2035,536026.787565,532631.774711
2036,539546.979929,534542.829314
