year,Base case cost,"Ouzinkie (unnamed stream, site #1) -- unnamed creek, 1","Ouzinkie (unnamed stream, site #2) -- unnamed creek 2"
2021,95602.9410819,632632.128892,361738.449776
2022,98609.322877,618163.70028,354071.953551
2023,100834.687337,604046.296994,346447.991517
2024,102635.306754,590628.839834,339218.757119
2025,104549.334167,577214.731609,331944.137562
2026,107053.939072,563864.940466,324772.651546
2027,108951.918184,551012.178061,317802.340611
2028,110345.980632,538343.27719,310807.44342
2029,113022.837305,526001.657536,304272.004456
2030,114509.979901,514372.767466,297993.303981
2031,116976.068882,502345.517105,291538.4603
2032,119216.946701,490346.429609,284998.985557
2033,121438.566558,478575.519777,278577.538136
2034,123934.612368,466911.481821,272239.823419
2035,125301.927647,455582.257465,265878.58626
2036,127753.038214,444339.699514,259754.718556
2037,129022.993798,433777.789604,253873.599698
2038,131435.588441,422941.524035,247958.010098
2039,133003.507488,412293.579878,241966.342697
2040,135656.291708,401712.515755,236201.542913
2041,134895.602222,392423.746344,230709.199005
2042,134134.912736,383334.853807,225327.753247
2043,133627.786412,374694.716614,220308.169584
2044,133120.660088,366245.196919,215394.34667
2045,132359.970602,357728.263917,210330.242552
2046,131599.281115,349393.117867,205366.999711
2047,131092.154791,341489.061334,200755.817392
2048,130331.465305,333504.807128,195987.26069
2049,129570.775819,325689.855244,191312.638388
2050,128810.086333,318040.237641,186729.74889
2051,128810.086333,311312.768786,182997.131696
2052,128810.086333,304742.974955,179351.997702
2053,128810.086333,298327.16072,175792.296566
2054,128810.086333,292061.717088,172316.025901
2055,128810.086333,285943.119796,168921.230333
2056,128810.086333,279967.92713,165606.000287
2057,128810.086333,274132.778025,162368.470935
2058,128810.086333,268434.39028,159206.821207
2059,128810.086333,262869.558455,156119.272621
2060,128810.086333,257435.152358,153104.088445
2061,128810.086333,252128.115198,150159.572672
2062,128810.086333,246945.461678,147284.068964
2063,128810.086333,241884.276615,144475.959882
2064,128810.086333,236941.71309,141733.665865
2065,128810.086333,232114.990941,139055.644387
2066,128810.086333,227401.394981,136440.388976
2067,128810.086333,222798.274013,133886.428662
2068,128810.086333,218303.038656,131392.326772
2069,128810.086333,213913.160423,128956.68042
2070,128810.086333,209626.169946,126578.119522
