year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5717.57776402,3716.42554662
2018,5717.79019031,3716.5636237
2019,5718.62747917,3717.10786146
2020,5718.97972351,3717.33682028
2021,5718.73247767,3717.17611049
2022,5717.6298584,3716.45940796
2023,5717.12969842,3716.13430397
2024,5715.63164775,3715.16057104
2025,5713.96219849,3714.07542902
2026,5713.10493563,3713.51820816
2027,5710.56661698,3711.86830104
2028,5708.66476743,3710.63209883
2029,5708.81700177,3710.73105115
2030,5707.71330282,3710.01364683
2031,5706.71055359,3709.36185983
