year,Base case cost,Modeled solar power
2020,91556.6293564,96289.9154705
2021,95602.9410819,100157.252433
2022,98609.322877,103006.272509
2023,100834.687337,105086.605916
2024,102635.306754,106754.237538
2025,104549.334167,108534.084193
2026,107053.939072,110899.065504
2027,108951.918184,112669.11108
2028,110345.980632,113942.441534
2029,113022.837305,116488.874615
2030,114509.979901,117865.175067
2031,116976.068882,120206.621846
2032,119216.946701,122325.719708
2033,121438.566558,124428.359816
2034,123934.612368,126804.148591
2035,125301.927647,128065.905437
2036,127753.038214,130402.093566
2037,129022.993798,131575.440532
2038,131435.588441,133878.189074
2039,133003.507488,135346.498261
