year,Base case cost,Modeled wind power
2019,872478.36697,1246951.5431
2020,916581.669037,1284713.20318
2021,945679.683156,1309675.36382
2022,968698.255565,1329385.25345
2023,984043.970505,1342525.17987
2024,995553.25671,1352380.12468
2025,1010898.97165,1365520.0511
2026,1028162.90096,1380302.46833
2027,1043878.26117,1393812.04002
2028,1057310.51821,1405314.23211
2029,1074961.08017,1420483.28198
2030,1084558.94696,1428702.53094
2031,1103754.68053,1445141.02887
2032,1121427.66582,1460332.50207
2033,1141033.81437,1477181.41497
2034,1160243.13785,1493633.5028
2035,1171768.73193,1503504.75549
2036,1190978.05541,1519956.84332
2037,1202503.64949,1529828.09601
2038,1223633.90531,1547925.39262
