year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,145328.0,107457.734562
2018,145328.0,107457.734562
2019,145328.0,107457.734562
2020,145328.0,107457.734562
2021,145328.0,107457.734562
2022,145328.0,107457.734562
2023,145328.0,107457.734562
2024,145328.0,107457.734562
2025,145328.0,107457.734562
2026,145328.0,107457.734562
2027,145328.0,107457.734562
2028,145328.0,107457.734562
2029,145328.0,107457.734562
2030,145328.0,107457.734562
2031,145328.0,107457.734562
2032,,
2033,,
2034,,
2035,,
2036,,
