year,Base case cost,Modeled biomass for heat (cordwood)
2017,764540.408013,823227.910447
2018,816858.488013,861912.694889
2019,886615.928013,913492.407479
2020,920041.368013,938207.686428
2021,941840.568013,954326.346612
2022,959279.928013,967221.274759
2023,970906.168013,975817.893524
2024,979625.848013,982265.357598
2025,991252.088013,990861.976363
2026,1004331.60801,1000533.17247
2027,1015957.84801,1009129.79124
2028,1026130.80801,1016651.83266
2029,1039210.32801,1026323.02877
2030,1046476.72801,1031695.9155
2031,1061009.52801,1042441.68895
2032,,
2033,,
2034,,
2035,,
2036,,
