year,Base case diesel consumed,Modeled solar power (pv)
2016,191549.638748,189016.01758
2017,191617.588247,189104.236049
2018,191685.537747,189192.292366
2019,191753.487246,189280.187828
2020,191753.487246,189299.974224
2021,191821.436746,189387.551827
2022,191821.436746,189407.022907
2023,191821.436746,189426.338217
2024,191821.436746,189445.499006
2025,191821.436746,189464.506508
2026,191821.436746,189483.361949
2027,191889.386245,189570.016047
2028,191889.386245,189588.571009
2029,191957.335744,189674.92703
2030,191957.335744,189693.1863
2031,191957.335744,189711.299495
2032,192025.285244,189797.217285
2033,192093.234743,189882.991328
2034,192093.234743,189900.673275
2035,192093.234743,189918.213767
