year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,141419.57,2833.82,95736.83,105938.7
2018,142833.02,2858.16,95736.83,110005.63
2019,144320.87,2882.93,95736.83,114072.56
2020,145734.32,2908.03,95736.83,118139.49
2021,147222.16,2933.48,95736.83,122206.42
2022,148710.01,2959.37,95736.83,126273.35
2023,150272.24,2985.81,95736.83,131357.02
2024,151834.48,3012.74,95736.83,135423.95
2025,153396.72,3039.91,95736.83,139490.88
2026,154958.95,3067.31,95736.83,144574.55
2027,156595.58,3095.28,95736.83,148641.48
2028,158232.21,3123.29,95736.83,153725.14
2029,159868.84,3152.01,95736.83,157792.07
2030,161579.86,3181.15,95736.83,162875.74
2031,163290.88,3210.67,95736.83,167959.4
2032,165001.9,3240.46,95736.83,172026.34
2033,166787.31,3270.69,95736.83,177110.0
2034,168572.72,3301.48,95736.83,182193.66
2035,170358.14,3332.91,95736.83,187277.33
2036,172217.94,3365.06,95736.83,192360.99
2037,174152.14,3397.95,95736.83,197444.66
2038,176086.34,3431.39,95736.83,203545.06
2039,178020.53,3465.28,95736.83,208628.72
2040,180029.12,3499.72,95736.83,214729.12
