year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,1643567.0,715844.0,927723.0
2004,,1570772.0,702011.0,868761.0
2005,,1600388.0,704784.0,895604.0
2006,,1652033.0,731325.0,920708.0
2007,,1566692.0,687195.0,879497.0
2008,,1637256.0,733293.0,903963.0
2009,,1677922.0,700138.0,977784.0
2010,,1639299.0,717156.0,922143.0
2011,,1685467.0,722805.0,962662.0
2012,,1735056.0,770480.0,964576.0
2013,,1757355.0,764732.0,992623.0
2014,start of forecast,1758252.0,784965.0,973287.0
2015,,1775166.0,801879.0,973287.0
2016,,1792507.0,819220.0,973287.0
2017,,1810181.0,836894.0,973287.0
2018,,1828230.0,854943.0,973287.0
2019,,1846595.0,873308.0,973287.0
2020,,1865211.0,891924.0,973287.0
2021,,1884082.0,910795.0,973287.0
2022,,1903280.0,929993.0,973287.0
2023,,1922884.0,949597.0,973287.0
2024,,1942858.0,969571.0,973287.0
2025,,1963003.0,989716.0,973287.0
2026,,1983326.0,1010039.0,973287.0
2027,,2004067.0,1030780.0,973287.0
2028,,2024836.0,1051549.0,973287.0
2029,,2046135.0,1072848.0,973287.0
2030,,2067738.0,1094451.0,973287.0
2031,,2089632.0,1116345.0,973287.0
2032,,2111720.0,1138433.0,973287.0
2033,,2134141.0,1160854.0,973287.0
2034,,2156969.0,1183682.0,973287.0
2035,,2180279.0,1206992.0,973287.0
2036,,2204115.0,1230828.0,973287.0
2037,,2228510.0,1255223.0,973287.0
2038,,2253301.0,1280014.0,973287.0
2039,,2278436.0,1305149.0,973287.0
2040,,2303975.0,1330688.0,973287.0
