year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,1690119
2004,,0,0,0,0,0,1675244
2005,,0,0,0,0,0,1687102
2006,,0,0,0,0,0,1705701
2007,,0,0,0,0,0,1669279
2008,,0,0,0,0,0,1692345
2009,,0,0,0,0,0,1757650
2010,,0,0,0,0,0,1721912
2011,,0,0,0,0,0,1770301
2012,,0,0,0,0,0,1833102
2013,,0,0,0,0,0,1835094
2014,start of forecast,0,0,0,0,0,1847000
2015,,0,0,0,0,0,1865000
2016,,0,0,0,0,0,1883000
2017,,0,0,0,0,0,1901000
2018,,0,0,0,0,0,1920000
2019,,0,0,0,0,0,1940000
2020,,0,0,0,0,0,1959000
2021,,0,0,0,0,0,1979000
2022,,0,0,0,0,0,1999000
2023,,0,0,0,0,0,2020000
2024,,0,0,0,0,0,2041000
2025,,0,0,0,0,0,2062000
2026,,0,0,0,0,0,2083000
2027,,0,0,0,0,0,2105000
2028,,0,0,0,0,0,2127000
2029,,0,0,0,0,0,2149000
2030,,0,0,0,0,0,2172000
2031,,0,0,0,0,0,2195000
2032,,0,0,0,0,0,2218000
2033,,0,0,0,0,0,2242000
2034,,0,0,0,0,0,2266000
2035,,0,0,0,0,0,2290000
2036,,0,0,0,0,0,2315000
2037,,0,0,0,0,0,2341000
2038,,0,0,0,0,0,2367000
2039,,0,0,0,0,0,2393000
2040,,0,0,0,0,0,2420000
