year,Base case diesel consumed,Modeled wind power
2019,144320.867591,103185.343029
2020,145734.319387,104598.794825
2021,147222.163382,106086.638821
2022,148710.007378,107574.482817
2023,150272.243574,109136.719012
2024,151834.479769,110698.955208
2025,153396.715965,112261.191403
2026,154958.952161,113823.427599
2027,156595.580556,115460.055994
2028,158232.208951,117096.68439
2029,159868.837347,118733.312785
2030,161579.857942,120444.33338
2031,163290.878537,122155.353975
2032,165001.899132,123866.37457
2033,166787.311927,125651.787365
2034,168572.724722,127437.20016
2035,170358.137517,129222.612955
2036,172217.942512,131082.41795
2037,174152.139706,133016.615144
2038,176086.336901,134950.812339
