year,Base case diesel consumed,Modeled solar power
2020,145734.319387,143732.967946
2021,147222.163382,145236.822753
2022,148710.007378,146740.549474
2023,150272.243574,148318.541333
2024,151834.479769,149896.407146
2025,153396.715965,151474.147923
2026,154958.952161,153051.764663
2027,156595.580556,154703.650558
2028,158232.208951,156355.414393
2029,159868.837347,158007.057145
2030,161579.857942,159732.971982
2031,163290.878537,161458.767665
2032,165001.899132,163184.445147
2033,166787.311927,164984.397574
2034,168572.724722,166784.233683
2035,170358.137517,168583.954407
2036,172217.942512,170457.952866
2037,174152.139706,172406.229978
2038,176086.336901,174354.39445
2039,178020.534095,176302.447184
