year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,204510.0,179562.389225
2018,208601.0,183653.389225
2019,212693.0,187745.389225
2020,216784.0,191836.389225
2021,220876.0,195928.389225
2022,224969.0,200021.389225
2023,230080.0,205132.389225
2024,234174.0,209226.389225
2025,238268.0,213320.389225
2026,243379.0,218431.389225
2027,247473.0,222525.389225
2028,252585.0,227637.389225
2029,256681.0,231733.389225
2030,261794.0,236846.389225
2031,266907.0,241959.389225
2032,271003.0,246055.389225
2033,276118.0,251170.389225
2034,281232.0,256284.389225
2035,286347.0,261399.389225
2036,291463.0,266515.389225
