year,Base case cost,Modeled solar power
2020,540674.324925,554520.491142
2021,566805.329022,579988.994146
2022,588891.629218,601486.320557
2023,607099.864038,619177.395368
2024,622521.367054,634132.486884
2025,639664.305574,650800.894528
2026,660125.136204,670760.217105
2027,679624.819612,689788.843176
2028,696221.719385,705963.202928
2029,717811.079686,727084.312432
2030,733572.555055,742462.22301
2031,756036.767626,764478.983541
2032,778808.963903,786814.085419
2033,802246.970369,809825.133768
2034,827692.078385,834835.318538
2035,846679.943459,853469.221866
2036,873144.968534,879518.533756
2037,893400.476692,899437.747296
2038,920931.54199,926571.503514
2039,945289.036045,950575.238127
