year,Base case cost,Modeled wind power
2019,505123.036567,681495.428789
2020,540674.324925,701120.293353
2021,566805.329022,714511.22047
2022,588891.629218,725310.985663
2023,607099.864038,733682.553378
2024,622521.367054,740281.408566
2025,639664.305574,748315.432803
2026,660125.136204,758945.400286
2027,679624.819612,769185.712025
2028,696221.719385,777523.729118
2029,717811.079686,789690.205664
2030,733572.555055,797887.50877
2031,756036.767626,811185.136203
2032,778808.963903,824914.409195
2033,802246.970369,839430.255929
2034,827692.078385,855638.876713
2035,846679.943459,867234.466198
2036,873144.968534,884690.642899
2037,893400.476692,897776.179085
2038,920931.54199,916515.48937
