year,Base case cost,Modeled non-residential energy efficiency
2017,3178974.04875,2693920.91364
2018,3306549.34439,2798954.47339
2019,3478498.65591,2940521.44523
2020,3561699.93567,3009021.5929
2021,3617167.45552,3054688.35801
2022,3661541.47139,3091221.77009
2023,3689275.23132,3114055.15265
2024,3711462.23925,3132321.85869
2025,3739195.99918,3155155.24125
2026,3778023.26307,3187121.97682
2027,3805757.02299,3209955.35938
2028,3827944.03093,3228222.06542
2029,3861224.54283,3255622.12449
2030,3883411.55077,3273888.83053
2031,3916692.06268,3301288.88959
