year,Base case cost,Modeled water and wastewater efficiency
2017,8437.6512816,7448.33279984
2018,8950.37293253,7833.19713083
2019,9641.43254899,8351.92731607
2020,9975.81623438,8602.9257928
2021,10198.7386913,8770.25811062
2022,10377.0766568,8904.12396487
2023,10488.5378853,8987.79012378
2024,10577.7068681,9054.72305091
2025,10689.1680965,9138.38920982
2026,10845.2138164,9255.5218323
2027,10956.6750448,9339.18799121
2028,11045.8440276,9406.12091833
2029,11179.5975018,9506.52030902
2030,11268.7664845,9573.45323615
2031,11402.5199587,9673.85262684
