year,Base case cost,Modeled non-residential energy efficiency
2017,1894332.07533,1905945.73938
2018,2002657.91215,1998205.56071
2019,2153657.56349,2129127.47757
2020,2222592.18693,2186076.53295
2021,2271831.20367,2225365.70207
2022,2307939.81594,2252920.07144
2023,2330918.02375,2268736.80068
2024,2353896.23157,2284669.10618
2025,2376874.43938,2300714.27912
2026,2406417.84942,2322797.66925
2027,2432678.65835,2342024.70063
2028,2455656.86616,2358392.85046
2029,2481917.67509,2377827.65016
2030,2498330.68067,2388470.70363
2031,2531156.69183,2414031.64176
