year,Base case cost,St marys heat recovery system
2019,1185452.3508,1154821.3101
2020,1228521.28564,1193163.54359
2021,1259284.81053,1220177.30778
2022,1281844.72878,1239649.10363
2023,1296201.04039,1251578.16713
2024,1310557.35201,1263538.31878
2025,1324913.66362,1275528.82996
2026,1343371.77856,1291336.27244
2027,1359778.99183,1305279.02636
2028,1374135.30345,1317356.41314
2029,1390542.51672,1331355.05341
2030,1400797.02502,1339699.73339
2031,1421306.04161,1357538.95435
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
