year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,2459.51360114,1598.68384074
2018,2474.50258758,1608.42668193
2019,2489.79662746,1618.36780785
2020,2505.33887356,1628.47026782
2021,2521.15668194,1638.75184326
2022,2537.35147018,1649.27845562
2023,2553.99342994,1660.09572946
2024,2571.03558886,1671.17313276
2025,2588.35224251,1682.42895763
2026,2605.84063883,1693.79641524
2027,2623.5238637,1705.2905114
2028,2641.46650409,1716.95322766
2029,2659.97815055,1728.98579786
2030,2678.79551767,1741.21708649
2031,2697.88364309,1753.62436801
