year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,12273.35,1023431.12,937754.84,21835.27,870900.96,556622.31
2018,13164.73,1091110.87,1008993.94,23057.04,911547.04,592703.49
2019,14391.4,1185452.35,1110523.43,24709.85,968205.21,643851.42
2020,15007.36,1228521.29,1167578.24,25599.17,994070.9,672069.5
2021,15480.29,1259284.81,1224292.03,26312.55,1012546.39,699523.44
2022,15858.83,1281844.73,1267271.6,26911.14,1026095.09,720256.1
2023,16141.63,1296201.04,1312428.21,27392.72,1034716.98,741598.84
2024,16429.31,1310557.35,1358200.81,27884.75,1043338.88,763196.41
2025,16721.15,1324913.66,1404589.41,28385.41,1051960.78,785048.8
2026,17068.65,1343371.78,1455322.04,28960.33,1063046.07,809030.78
2027,17394.36,1359778.99,1504938.64,29510.21,1072899.67,832384.8
2028,17698.23,1374135.3,1553307.22,30035.23,1081521.56,855056.26
2029,18035.06,1390542.52,1604287.82,30608.59,1091375.16,878974.54
2030,18296.58,1400797.03,1649852.35,31087.69,1097533.66,900153.46
2031,18696.74,1421306.04,1706276.97,31750.84,1109850.65,926656.37
2032,,,1770558.67,,,956617.92
2033,,,1828809.27,,,983876.19
2034,,,1887939.86,,,1011498.5
2035,,,1948257.49,,,1039321.36
2036,,,2018583.18,,,1071949.45
