year,Base case diesel consumed,St marys heat recovery system
2019,205090.165924,189364.165924
2020,205090.165924,189364.165924
2021,205090.165924,189364.165924
2022,205090.165924,189364.165924
2023,205090.165924,189364.165924
2024,205090.165924,189364.165924
2025,205090.165924,189364.165924
2026,205090.165924,189364.165924
2027,205090.165924,189364.165924
2028,205090.165924,189364.165924
2029,205090.165924,189364.165924
2030,205090.165924,189364.165924
2031,205090.165924,189364.165924
2032,205090.165924,189364.165924
2033,205090.165924,189364.165924
2034,205090.165924,189364.165924
2035,205090.165924,189364.165924
2036,205090.165924,189364.165924
2037,205090.165924,189364.165924
2038,205090.165924,189364.165924
