year,Base case diesel consumed,Modeled transmission and interties
2021,87726.4311948,43863.2155974
2022,87726.4311948,43863.2155974
2023,87726.4311948,43863.2155974
2024,87726.4311948,43863.2155974
2025,87726.4311948,43863.2155974
2026,87726.4311948,43863.2155974
2027,87726.4311948,43863.2155974
2028,87726.4311948,43863.2155974
2029,87726.4311948,43863.2155974
2030,87905.8308496,43952.9154248
2031,87905.8308496,43952.9154248
2032,87905.8308496,43952.9154248
2033,87905.8308496,43952.9154248
2034,87726.4311948,43863.2155974
2035,87726.4311948,43863.2155974
2036,87905.8308496,43952.9154248
2037,87905.8308496,43952.9154248
2038,87905.8308496,43952.9154248
2039,87905.8308496,43952.9154248
2040,87905.8308496,43952.9154248
