year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6857.91082966,4457.64203928
2018,6859.43776166,4458.63454508
2019,6861.45162761,4459.94355795
2020,6863.11055003,4461.02185752
2021,6864.07686019,4461.64995912
2022,6863.85471682,4461.50556593
2023,6862.37043202,4460.54078082
2024,6861.54367001,4460.0033855
2025,6861.3890064,4459.90285416
2026,6862.29134575,4460.48937473
2027,6862.60526159,4460.69342003
2028,6862.47516061,4460.6088544
2029,6867.51373931,4463.88393055
2030,6871.25049849,4466.31282402
2031,6873.59231608,4467.83500545
