year,annotation,diesel generation efficiency
2002,,12.18
2003,,12.71
2004,,12.54
2005,,12.52
2006,,11.45
2007,,11.93
2008,,12.72
2009,,12.67
2010,,12.6
2011,,12.5
2012,,13.05
2013,,14.09
2014,,13.86
2015,,13.94
2016,start of forecast,13.96
2017,,13.96
2018,,13.96
2019,,13.96
2020,,13.96
2021,,13.96
2022,,13.96
2023,,13.96
2024,,13.96
2025,,13.96
2026,,13.96
2027,,13.96
2028,,13.96
2029,,13.96
2030,,13.96
2031,,13.96
2032,,13.96
2033,,13.96
2034,,13.96
2035,,13.96
2036,,13.96
2037,,13.96
2038,,13.96
2039,,13.96
2040,,13.96
