year,Base case diesel consumed,Modeled solar power (pv)
2016,47981.3692766,47271.5120309
2017,48052.9832606,47348.8048729
2018,48052.9832606,47354.4383
2019,48124.5972446,47431.6406437
2020,48196.2112286,47508.7982805
2021,48267.8252126,47585.911568
2022,48339.4391966,47662.9808612
2023,48411.0531806,47740.0065119
2024,48411.0531806,47745.3748852
2025,48482.6671646,47822.3142956
2026,48554.2811486,47899.2111025
2027,48697.5091165,48047.6796309
2028,48769.1231005,48124.4922508
2029,48840.7370845,48201.2632816
2030,48912.3510685,48277.993056
2031,48983.9650525,48354.6819041
2032,49127.1930205,48502.9441372
2033,49198.8070045,48579.5521123
2034,49270.4209885,48656.1201354
2035,49342.0349725,48732.6485263
