year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,46320.0,34249.5677173
2018,46320.0,34249.5677173
2019,46320.0,34249.5677173
2020,46320.0,34249.5677173
2021,46320.0,34249.5677173
2022,46320.0,34249.5677173
2023,46320.0,34249.5677173
2024,46320.0,34249.5677173
2025,46320.0,34249.5677173
2026,46320.0,34249.5677173
2027,46320.0,34249.5677173
2028,46320.0,34249.5677173
2029,46320.0,34249.5677173
2030,46320.0,34249.5677173
2031,46320.0,34249.5677173
2032,,
2033,,
2034,,
2035,,
2036,,
