year,Base case cost,Modeled wind power
2019,122717.722974,
2020,131575.656654,
2021,137563.301856,
2022,142601.34563,
2023,145717.270074,
2024,148621.933264,
2025,151750.748225,
2026,155859.242487,
2027,159727.829902,
2028,162401.179925,
2029,166546.913458,
2030,168747.611186,
2031,172913.396635,
2032,177840.438734,
2033,182035.585917,
2034,186734.895546,
2035,189473.414294,
2036,194195.640399,
2037,197446.199133,
2038,202192.057852,
