year,Base case cost,Modeled biomass for heat (cordwood)
2017,160303.89444,186662.863072
2018,172347.09444,194834.28328
2019,189948.69444,207132.842256
2020,198286.29444,212598.275425
2021,203844.69444,216025.128806
2022,208476.69444,218783.000864
2023,211255.89444,220186.525013
2024,214035.09444,221605.317519
2025,216814.29444,223039.02053
2026,220519.89444,225172.275933
2027,223762.29444,226977.255427
2028,226078.29444,228111.130059
2029,229783.89444,230286.052744
2030,231636.69444,231104.235913
2031,235342.29444,233305.334589
2032,,
2033,,
2034,,
2035,,
2036,,
