year,Base case cost,Modeled water and wastewater efficiency
2017,93398.2725125,77993.5702568
2018,98148.8913163,81052.9699539
2019,105090.722507,85650.2154031
2020,108390.348865,87707.6557816
2021,110600.053197,89009.1903614
2022,112445.044146,90061.4924909
2023,113561.169187,90609.9076311
2024,114676.089861,91162.8898063
2025,115796.573487,91725.2174998
2026,117286.931443,92551.4008972
2027,118602.331534,93260.5451484
2028,119550.734516,93718.052861
2029,121043.190431,94560.5914817
2030,121811.356675,94901.719305
2031,123307.99242,95756.6052881
