year,Base case diesel consumed,Modeled diesel efficiency
2019,48124.5972446,43749.6338587
2020,48196.2112286,43814.7374805
2021,48267.8252126,43879.8411023
2022,48339.4391966,43944.9447242
2023,48411.0531806,44010.048346
2024,48411.0531806,44010.048346
2025,48482.6671646,44075.1519678
2026,48554.2811486,44140.2555896
2027,48697.5091165,44270.4628332
2028,48769.1231005,44335.566455
2029,48840.7370845,44400.6700769
2030,48912.3510685,44465.7736987
2031,48983.9650525,44530.8773205
2032,49127.1930205,44661.0845641
2033,49198.8070045,44726.1881859
2034,49270.4209885,44791.2918077
2035,49342.0349725,44856.3954295
2036,49413.6489565,44921.4990514
2037,49485.2629405,44986.6026732
2038,49556.8769245,45051.706295
