year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,46320.4641453,34277.1434675
2018,46320.4641453,34277.1434675
2019,46320.4641453,34277.1434675
2020,46320.4641453,34277.1434675
2021,46320.4641453,34277.1434675
2022,46320.4641453,34277.1434675
2023,46320.4641453,34277.1434675
2024,46320.4641453,34277.1434675
2025,46320.4641453,34277.1434675
2026,46320.4641453,34277.1434675
2027,46320.4641453,34277.1434675
2028,46320.4641453,34277.1434675
2029,46320.4641453,34277.1434675
2030,46320.4641453,34277.1434675
2031,46320.4641453,34277.1434675
