year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2005,,2.01,3.05
2006,,2.4,3.46
2008,,2.68,4.37
2009,,3.46,2.85
2010,,2.4,3.9
2011,,2.97,4.75
2012,,3.95,5.0
2013,,3.81,5.0
2014,,3.89,5.05
2016,start of forecast,1.55,3.1
2017,,1.91,3.46
2018,,2.17,3.72
2019,,2.55,4.1
2020,,2.73,4.28
2021,,2.85,4.4
2022,,2.95,4.5
2023,,3.01,4.56
2024,,3.07,4.62
2025,,3.13,4.68
2026,,3.21,4.76
2027,,3.28,4.83
2028,,3.33,4.88
2029,,3.41,4.96
2030,,3.45,5.0
2031,,3.53,5.08
2032,,3.62,5.17
2033,,3.7,5.25
2034,,3.79,5.34
2035,,3.84,5.39
2036,,3.93,5.48
2037,,3.99,5.54
2038,,4.08,5.63
2039,,4.15,5.7
2040,,4.25,5.8
