year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9291.00779144,6039.15506444
2018,9292.16048245,6039.90431359
2019,9293.59207184,6040.8348467
2020,9294.86005864,6041.65903812
2021,9296.2233246,6042.54516099
2022,9297.51853401,6043.38704711
2023,9298.77557839,6044.20412595
2024,9299.94521681,6044.96439093
2025,9301.39268606,6045.90524594
2026,9303.09169763,6047.00960346
2027,9305.14140056,6048.34191036
2028,9307.04071187,6049.57646272
2029,9308.73665422,6050.67882524
2030,9310.6944141,6051.95136916
2031,9312.53367552,6053.14688909
