year,Base case cost,Modeled solar power (pv)
2016,124451.492727,129508.490055
2017,148803.165567,153344.801268
2018,166602.984801,170747.135607
2019,191462.189803,195108.965813
2020,203206.994047,206563.65501
2021,211855.605324,214980.932943
2022,218196.878325,221125.787411
2023,223424.377342,226183.530232
2024,226801.892836,229417.327514
2025,232076.278941,234529.513563
2026,237380.277943,239675.058184
2027,242713.889843,244853.882161
2028,247060.405155,249063.48539
2029,252449.952529,254305.232695
2030,256334.177605,258066.186424
2031,261870.966886,263454.840874
2032,267852.772213,269291.920688
2033,273867.480759,275165.242246
2034,280432.495654,281585.332071
2035,284957.510932,285995.744163
