year,Base case cost,Modeled diesel efficiency
2019,191462.189803,343447.030596
2020,203206.994047,350154.035664
2021,211855.605324,354139.368765
2022,218196.878325,356117.989761
2023,223424.377342,357172.827553
2024,226801.892836,356632.520552
2025,232076.278941,357901.268954
2026,237380.277943,359279.582403
2027,242713.889843,360765.523748
2028,247060.405155,361432.919927
2029,252449.952529,363125.495617
2030,256334.177605,363524.760679
2031,261870.966886,365499.759688
2032,267852.772213,367951.001041
2033,273867.480759,370502.156582
2034,280432.495654,373621.95233
2035,284957.510932,374953.962212
2036,291588.332266,378265.536004
2037,295643.654084,379299.413212
2038,301864.007753,382363.675782
