year,Base case cost,Grayling (grayling creek),Grayling (creek nw of town) -- unnamed creek,"Grayling (n. fork grayling creek) -- grayling creek, north fork"
2021,211855.605324,1245304.95206,802257.752169,646387.580641
2022,218196.878325,1222790.84499,788026.605016,635815.133375
2023,223424.377342,1200994.84378,774358.024307,625635.799234
2024,226801.892836,1179167.68754,760507.393538,615106.768891
2025,232076.278941,1158493.24153,747577.941734,605517.758169
2026,237380.277943,1138366.92789,735012.10443,596220.564392
2027,242713.889843,1118776.59271,722802.052741,587209.041584
2028,247060.405155,1099543.7401,710801.904493,578277.376835
2029,252449.952529,1080986.74673,699277.379437,569816.042667
2030,256334.177605,1062671.14347,687869.012351,561313.205985
2031,261870.966886,1044768.47761,676652.917522,553062.020831
2032,267852.772213,1027760.57087,666171.538377,545483.27703
2033,273867.480759,1011224.76908,656005.971937,538159.531227
2034,280432.495654,995243.141716,646227.755235,531194.532698
2035,284957.510932,979340.534733,636436.287378,524035.137281
2036,291588.332266,964252.608538,627257.16116,517554.593585
2037,295643.654084,949113.840515,617956.021489,510742.790355
2038,301864.007753,934404.988929,608875.007117,504251.033383
2039,307536.522815,920379.327926,600370.011556,498220.9727
2040,314291.553803,906958.120816,592308.694344,492644.652193
2041,314782.634356,892311.714864,583049.042431,485481.034418
2042,315764.795462,878511.173948,574509.003633,478987.904007
2043,316255.876014,864566.022844,565701.061349,472178.895586
2044,316746.956567,850959.220791,557111.06483,465540.982935
2045,317238.03712,837682.838118,548733.906219,459070.156192
2046,317729.117673,824729.12978,540564.596588,452762.498855
2047,318220.198226,812090.534192,532598.26518,446614.187197
2048,318711.278779,799759.665051,524830.154148,440621.486122
2049,319202.359331,787729.310165,517255.617796,434780.748582
2050,319693.439884,775992.426777,509870.119569,429088.413209
