year,Base case cost,Modeled water and wastewater efficiency
2017,84891.7403041,57631.3547237
2018,89641.3617593,60013.2748825
2019,95911.3832859,63212.2863542
2020,99123.2959337,64787.3282605
2021,101550.612626,65949.6480123
2022,103322.469669,66767.7935052
2023,104843.343415,67457.4078118
2024,106109.402227,68016.1280783
2025,107529.464763,68661.990238
2026,109242.28461,69469.0192137
2027,110834.455948,70216.2612602
2028,112165.97519,70828.7734428
2029,113941.186789,71683.7843469
2030,115172.662552,72252.2717977
2031,116986.768119,73137.1663903
