year,Base case cost,Modeled residential energy efficiency
2017,1253001.17049,1150950.60532
2018,1350726.84144,1231791.20296
2019,1473836.37348,1333639.07261
2020,1554187.54919,1402131.88314
2021,1637066.29636,1475662.7734
2022,1697844.32925,1529196.27209
2023,1768516.93288,1593509.82691
2024,1835658.5047,1655176.0824
2025,1892444.43682,1706152.67647
2026,1968457.07985,1775614.94055
2027,2043195.49219,1844276.34295
2028,2113894.64663,1909775.60964
2029,2193295.46357,1982825.36682
2030,2263126.96819,2047990.55152
2031,2359019.6851,2137657.42387
2032,2441961.14379,2214433.45327
2033,2526122.34509,2292488.22454
2034,2629286.36053,2389198.07895
2035,2706897.38976,2462032.6031
2036,2812941.35302,2561733.61879
