year,Base case cost,Modeled diesel efficiency
2019,406378.013351,614899.697936
2020,432640.572493,633021.662474
2021,452647.487191,645591.515545
2022,466667.311492,652850.236926
2023,478434.466791,658189.668975
2024,488210.992349,661845.015305
2025,499262.968672,666782.496813
2026,512813.72822,674111.359666
2027,525585.608639,680849.103924
2028,535718.275955,685301.775772
2029,549926.30525,693570.857579
2030,559336.554935,697587.242861
2031,573776.221145,706282.1934
2032,588346.18312,715199.470105
2033,603046.44086,724336.638332
2034,619493.385715,735160.767309
2035,630661.180496,741282.410464
2036,647387.537379,752551.766052
2037,659505.043513,759723.51726
2038,676525.289733,771442.402497
