year,Base case diesel consumed,Modeled solar power (pv)
2016,114443.113486,112453.194657
2017,114949.819238,112975.81976
2018,115528.911526,113570.704044
2019,116108.003815,114165.461992
2020,116614.709567,114687.708079
2021,117266.188391,115354.602916
2022,117845.28068,115948.987888
2023,118424.372968,116543.250518
2024,119075.851792,117209.778322
2025,119727.330617,117876.185735
2026,120378.809441,118542.473718
2027,121102.674802,119281.029764
2028,121754.153626,119947.081749
2029,122478.018987,120685.403684
2030,123201.884347,121423.609967
2031,123925.749707,122161.701523
2032,124649.615068,122899.679269
2033,125373.480428,123637.544116
2034,126169.732325,124447.683502
2035,126893.597685,125185.325254
