year,Base case cost,Modeled wind power,Marshall wind energy final design and permitting project
2019,406378.013351,633982.505645,614290.156998
2020,432640.572493,647570.08483,622343.25277
2021,452647.487191,656787.721483,627346.825154
2022,466667.311492,661611.901846,629060.629355
2023,478434.466791,664908.19974,629701.15161
2024,488210.992349,666935.187482,629526.443185
2025,499262.968672,670090.262484,630284.838623
2026,512813.72822,675305.018407,632691.249999
2027,525585.608639,680163.861539,634978.152384
2028,535718.275955,683091.737239,635786.201928
2029,549926.30525,689357.978967,639303.345916
2030,559336.554935,692105.465474,640185.303932
2031,573776.221145,698850.996338,644218.956757
2032,588346.18312,705846.313073,648520.353643
2033,603046.44086,713088.615055,653086.273062
2034,619493.385715,721903.126311,659025.34334
2035,630661.180496,726703.501225,661831.740858
2036,647387.537379,736017.383861,668303.240249
2037,659505.043513,741982.274225,672306.436167
2038,676525.289733,751799.815835,679313.120851
