year,annotation,diesel generation efficiency
2002,,13.84
2003,,13.78
2004,,13.86
2005,,13.8
2006,,13.93
2007,,14.05
2008,,14.13
2009,,14.28
2010,,14.82
2011,,13.59
2012,,13.22
2013,,13.7
2014,,13.96
2015,,13.79
2016,start of forecast,13.81
2017,,13.81
2018,,13.81
2019,,13.81
2020,,13.81
2021,,13.81
2022,,13.81
2023,,13.81
2024,,13.81
2025,,13.81
2026,,13.81
2027,,13.81
2028,,13.81
2029,,13.81
2030,,13.81
2031,,13.81
2032,,13.81
2033,,13.81
2034,,13.81
2035,,13.81
2036,,13.81
2037,,13.81
2038,,13.81
2039,,13.81
2040,,13.81
