year,Base case cost,Modeled biomass for heat (cordwood)
2017,448841.046092,528269.86964
2018,478884.246092,549017.283823
2019,518941.846092,577203.862283
2020,538060.246092,589941.288139
2021,551716.246092,598672.530004
2022,560820.246092,604069.981479
2023,568103.446092,608152.378373
2024,573565.846092,610918.987801
2025,579938.646092,614388.580329
2026,588132.246092,619233.619112
2027,595415.446092,623433.935344
2028,600877.846092,626315.700378
2029,609071.446092,631244.073725
2030,613623.446092,633506.285097
2031,621817.046092,638487.010426
2032,,
2033,,
2034,,
2035,,
2036,,
