year,annotation,Average Load
2003,,117.0
2004,,122.0
2005,,123.0
2006,,133.0
2007,,131.0
2008,,138.0
2009,,143.0
2010,,167.0
2011,,182.0
2012,,180.0
2013,,176.0
2014,,165.0
2015,,164.0
2016,start of forecast,172.0
2017,,172.0
2018,,173.0
2019,,174.0
2020,,175.0
2021,,176.0
2022,,177.0
2023,,178.0
2024,,179.0
2025,,180.0
2026,,181.0
2027,,182.0
2028,,183.0
2029,,184.0
2030,,185.0
2031,,186.0
2032,,187.0
2033,,188.0
2034,,189.0
2035,,190.0
2036,,192.0
2037,,193.0
2038,,194.0
2039,,195.0
2040,,197.0
