year,Base case cost,Modeled wind power
2019,899623.147516,1265960.13909
2020,939638.962247,1289960.42421
2021,967439.765277,1303753.23984
2022,988299.580291,1311723.58856
2023,1002402.66212,1314050.21402
2024,1009976.61969,1310955.34309
2025,1023281.26391,1312926.77566
2026,1036285.31984,1314811.4817
2027,1049231.57034,1316847.2316
2028,1058880.02057,1316230.82456
2029,1069371.70764,1316215.13975
2030,1074086.46371,1311500.40775
2031,1087573.91763,1314423.25449
2032,1098797.56606,1315709.48004
2033,1112855.84868,1319569.79893
2034,1123604.04738,1320738.62502
2035,1130499.51361,1318669.16356
2036,1142799.06577,1321289.11754
2037,1145439.32917,1315739.60234
2038,1156576.99201,1317523.3118
